200109,1
573151,1
858274,1
452290,0
917586,1
239312,1
912318,1
17028,1
64615,1
925004,1
310486,1
76942,1
634982,1
251912,1
450575,2
691662,2
180892,1
639150,2
670146,1
576547,1
977317,1
650610,2
997832,1
192989,1
954015,1
863492,1
656663,1
795102,1
733292,1
899510,1
569118,2
458935,1
462271,1
993979,1
482259,1
123383,1
541347,1
450292,1
91558,1
653741,1
388007,1
867526,1
762645,1
962591,1
175476,1
477888,1
565972,1
203137,1
691589,1
1002588,1
126317,2
871394,1
110873,1
332662,1
396947,1
162526,1
939656,2
877958,1
341415,1
651556,1
602253,1
138985,1
828006,0
743787,1
72201,1
386478,1
487719,1
353999,1
1012484,1
331827,1
863771,1
680468,1
669089,1
901211,0
868486,1
966357,1
98748,1
70753,1
667890,1
863636,0
814113,1
92313,1
260242,1
356550,2
46509,1
520982,1
303831,1
514550,1
53464,1
499712,1
288619,1
368911,0
363088,1
401845,0
601164,1
455169,1
727444,0
755692,1
587026,1
394640,1
3465,1
725152,1
327000,1
374073,0
117403,2
936408,1
142043,1
552321,1
324481,2
215417,1
14612,2
824248,1
760834,1
445610,1
212795,1
957795,1
293891,1
640093,1
846732,0
403513,1
833745,1
480932,1
340418,1
227142,1
972819,1
897956,1
297327,1
583015,1
713797,1
394262,1
105347,1
91008,1
856779,1
665526,1
351326,0
706100,1
900771,1
101747,1
686477,1
720966,1
495198,1
266648,0
928836,1
636753,1
343064,1
771999,1
925617,1
296803,1
130743,1
222251,1
690669,1
171414,1
274850,1
439244,1
104805,1
175854,1
650904,0
796040,1
100742,1
61483,1
925888,1
325178,1
760049,0
945754,1
378187,1
970295,1
286613,1
211053,1
302706,1
328016,1
489937,0
107129,1
661676,1
663429,1
718134,1
511658,1
559580,2
210959,1
297202,1
77253,1
574101,0
213664,0
54957,1
83960,1
93864,1
507789,1
561990,2
419602,2
88172,1
590392,1
158107,1
275239,1
264044,0
269896,1
156828,0
726609,1
601719,1
778491,1
799256,1
797173,1
827661,0
594822,1
488653,1
906575,1
619967,1
717001,1
582799,0
391128,1
243647,1
201557,1
208428,1
529785,2
826914,1
558129,1
583466,1
351791,1
108324,1
148481,0
442956,1
751322,1
86413,1
999496,1
568212,1
1006591,1
503774,2
940045,1
490597,1
45991,1
260705,1
87432,1
696850,1
489845,1
611307,1
815396,1
752473,1
616553,1
436696,1
190316,1
12207,2
193751,1
163413,1
369101,1
316253,1
323305,1
192336,1
741301,1
80091,1
277615,1
637802,2
347413,1
925154,1
820145,1
968931,1
745114,1
681164,1
766007,1
739452,2
437011,2
970310,1
810418,2
867409,1
224943,1
563574,1
7535,1
275503,0
538996,1
393485,1
360005,1
510000,1
802383,1
101875,0
664022,1
846350,1
908261,1
730840,1
935047,1
5438,1
556552,1
860923,1
41140,1
597032,1
102715,2
518848,2
99565,1
406996,1
217408,1
956923,1
627494,1
720573,0
59800,1
156215,1
763239,1
722205,1
594015,1
278964,1
27320,1
166317,1
14865,1
563145,1
866187,1
945981,1
71905,1
133496,1
195283,1
337982,1
837466,2
566052,0
884019,1
552493,1
805049,1
513939,1
967394,1
923736,2
231176,1
230036,1
631451,1
418359,1
964971,2
692847,1
936664,1
1009514,1
8628,1
493365,1
970864,1
494267,2
15466,1
613844,1
89519,1
778411,1
976055,1
944016,1
188009,1
108393,1
397027,1
512060,1
125480,1
600200,1
702834,0
403928,1
886530,1
361714,1
669485,1
222244,1
920069,1
669353,1
707208,1
399906,1
550279,1
833969,1
303439,1
782599,1
95837,1
480411,1
218768,1
716686,1
608266,1
322854,1
688453,1
832546,1
436678,1
957407,1
365369,1
835284,1
616645,1
984904,2
203562,1
716378,1
868956,1
603140,1
135627,0
410201,1
852849,0
486237,1
241935,1
334925,1
403924,1
344131,1
104665,1
431604,1
258816,1
320926,1
299387,1
312194,1
780061,2
937335,2
146638,1
348766,0
87652,1
349392,1
86130,1
401339,1
70261,1
151908,1
756385,1
322825,1
135696,2
984544,0
770671,2
203030,1
32090,1
30360,1
515959,1
247324,1
634564,1
498454,1
499862,1
134093,1
326872,1
1003361,1
28196,0
159951,0
578109,1
824640,1
255556,2
967934,1
145802,0
386588,1
397357,1
288534,1
355010,0
938208,1
712400,1
424200,1
496294,1
463911,1
910826,1
470133,1
700234,1
534112,1
748685,1
756349,1
20549,1
229195,1
521459,2
609072,2
694515,1
952468,1
188621,1
294540,1
413673,1
312257,1
912075,0
999999,1
654009,2
500669,1
31358,1
239172,1
169507,1
209355,1
154668,1
240082,1
739827,1
641564,1
950525,2
105747,1
992581,1
666611,2
792378,1
696201,1
958587,2
904540,1
420060,1
130974,1
259721,1
322850,0
658786,1
484891,2
637321,1
173199,1
407609,1
447171,1
561745,1
932473,1
448657,1
733061,1
119416,1
123967,1
966188,2
221328,1
88958,1
21777,2
985952,1
100870,0
235011,1
187095,1
442563,2
986535,1
384968,1
21230,1
123761,1
535715,1
987606,1
945244,1
312536,0
116905,1
726256,1
869135,1
707824,0
1006265,1
177027,1
406138,1
535957,1
202569,1
330455,2
867016,1
611886,0
198000,1
478610,1
582759,1
791733,1
814429,1
17482,1
906025,1
311069,1
564968,1
28064,1
931043,1
910385,1
130347,1
74203,1
543727,1
926283,1
906784,1
547129,1
501963,1
747758,1
379317,0
979186,1
214269,1
695787,0
873804,1
261940,2
363723,1
645814,1
442248,1
623355,1
595089,1
256212,1
85306,1
281586,2
599104,1
144834,1
636474,1
35857,1
263560,1
527673,1
878111,2
750846,1
647834,1
819330,1
16977,1
1006706,1
218687,1
216663,1
81272,1
159063,0
226277,1
5911,0
214412,1
776563,1
745385,1
824086,0
680321,1
607081,1
82174,2
911537,1
224455,1
136062,2
525848,1
835031,1
956581,0
501659,1
679811,2
504070,1
564014,1
608006,1
569727,2
601425,2
686851,0
271848,1
336017,1
400631,2
467210,2
199702,1
389077,1
764342,1
924076,1
1014905,1
251798,1
518396,1
788043,1
1006537,1
522519,1
439248,2
736310,1
146362,1
8330,1
674960,1
847469,1
556303,1
454616,2
266956,1
181020,1
513564,0
300968,1
221290,1
334554,1
78676,1
959735,1
130589,1
629335,1
359164,1
325284,2
773322,0
548867,1
371687,1
843942,1
158837,1
492247,1
574596,1
157300,1
713173,1
66235,1
420486,1
106205,1
703772,1
776178,1
845416,2
177375,1
118206,1
436311,1
900430,1
35002,0
632937,1
46824,1
86354,1
357922,1
652069,1
813570,1
936462,1
722450,1
368625,2
130835,1
804628,1
370756,1
467908,1
592945,1
776127,1
259930,1
15206,1
133537,1
14249,1
227920,1
161730,1
604732,0
901992,1
481786,1
582667,0
811213,1
723767,1
10209,1
580052,1
87050,1
319582,1
953443,0
536796,0
190411,1
57174,1
459381,2
119492,1
446006,1
167361,1
25205,1
90182,1
976958,1
920461,0
799836,1
386870,1
313841,1
909424,1
94524,1
969437,1
43597,1
438944,1
551632,1
521040,0
832502,1
854135,1
932709,1
253543,1
155760,1
739405,1
330077,1
344539,1
456614,1
871170,1
858726,1
224253,2
484392,1
780869,1
436531,0
129341,2
235190,1
739900,1
344025,1
580191,1
802222,1
582708,0
535395,1
583727,1
786096,2
774932,1
846585,1
647470,1
541208,0
872634,1
547268,1
655981,1
1001330,1
264547,1
706405,1
619578,1
601201,0
542791,0
378693,1
16999,1
491730,1
177980,1
475750,1
286693,1
481492,2
254474,1
512053,1
929811,1
699134,1
240864,1
750817,1
228370,1
812805,1
14300,1
46691,1
917869,0
445001,1
82666,1
703783,1
895051,1
868002,0
842729,1
520252,1
202507,1
414216,1
673060,1
446020,1
143888,1
756400,1
14113,1
199650,1
174079,0
222721,1
340692,1
506821,1
39817,1
770796,1
428123,0
435835,1
815958,1
134673,1
904214,1
786261,2
443377,1
691431,1
818560,1
632085,1
842923,2
848602,1
581677,1
412430,1
1008021,1
972738,1
630663,2
712602,1
287108,1
601638,1
985435,1
719043,2
355711,1
245913,1
632441,1
737245,1
778037,2
448257,1
199188,1
693671,1
694151,2
673211,1
68468,1
504445,1
609373,0
610665,1
870809,2
146263,1
281535,0
17101,1
230395,1
371199,1
924539,1
711740,2
432902,1
853916,1
840749,1
246363,2
566331,1
323114,1
398262,1
984999,1
226262,1
1008281,1
796415,1
400202,1
721439,1
172701,1
611868,1
155816,1
950246,1
415147,1
302287,1
841889,1
661926,1
217293,2
958606,1
916938,1
496096,1
759058,1
810395,1
98193,1
29337,1
294283,1
512347,1
443021,1
466451,1
17640,2
886273,1
484062,1
1009059,1
495693,1
465887,1
154983,1
155812,1
41852,1
638351,1
285388,1
847953,1
539498,1
516101,1
626916,2
190693,1
860288,1
643247,1
67809,0
339111,1
479655,1
972903,1
363312,1
284475,1
648750,1
327936,1
256575,0
308847,0
487586,0
499040,2
179920,1
60138,1
488558,1
16313,1
365615,1
637200,1
380894,1
398530,1
10296,1
964836,1
103158,1
384960,1
167651,1
160667,0
913960,1
405290,1
663928,0
6666,2
685399,1
515137,1
542546,2
959588,1
804433,1
520520,1
243331,1
377289,2
102755,1
239165,1
43047,1
378257,1
862026,1
294687,1
650210,1
422059,1
897295,2
906975,1
108258,1
625159,1
567758,1
704946,1
268583,1
709550,1
477084,1
444451,1
397999,1
454308,1
367990,2
607801,2
321930,1
736141,1
254386,1
889614,1
628118,1
677417,0
672977,1
820215,1
751418,1
552581,1
183781,1
429465,1
947576,1
131843,1
134291,2
684284,1
127219,1
835123,1
954242,1
794761,1
485225,1
817875,1
578156,1
866907,1
815785,1
73190,1
554727,1
845203,1
266178,1
894748,2
581604,0
518844,1
13772,1
774657,1
1014017,2
505839,1
304340,2
436296,1
879501,1
444084,1
959973,1
48235,1
505307,1
340072,0
549798,0
164858,1
67173,1
292788,1
220419,2
307277,1
408617,1
356136,1
57105,1
97608,1
402244,1
533111,2
517117,1
308083,2
756150,0
721916,1
642752,1
335522,1
785015,0
951096,1
957869,1
445272,1
320636,1
724665,1
562739,1
20167,1
275594,1
795241,1
128410,1
1011029,2
100162,1
219549,1
352147,1
294566,1
348906,1
853185,2
583114,1
77448,1
677916,0
254430,2
508445,2
389877,1
720005,1
900845,1
48910,0
996277,1
170691,1
15187,1
866370,1
137360,2
301547,1
844220,1
833341,2
806574,1
929484,2
562669,1
118257,1
460769,0
446615,1
91125,1
315135,1
208112,2
793559,2
680824,1
883825,1
180371,1
293664,1
77257,1
241337,1
299219,1
243034,1
133999,1
15880,2
46974,0
115764,1
727745,1
186366,1
374228,1
563273,0
531296,1
792840,1
452203,1
151607,1
331735,1
823650,1
107617,1
16159,1
808668,1
274920,1
403575,1
695633,1
931241,1
157854,1
1002694,0
425311,1
496966,1
767488,1
918543,1
522577,1
961440,1
841335,1
877455,1
503239,1
499264,1
665519,1
862099,1
793896,1
455693,1
267597,1
1003776,1
305338,1
352327,1
631880,1
363686,1
131025,1
652861,1
478793,1
453303,2
813343,1
886545,1
102021,1
602572,1
803696,1
956798,1
903224,2
710787,1
461942,1
1005330,1
200699,1
77004,1
66958,0
537580,1
1003611,0
206330,2
106263,1
869939,1
349529,0
57163,1
376938,1
353427,1
456081,1
357023,1
80477,0
392950,1
824457,0
990947,1
667249,1
165590,1
343853,0
181941,1
805647,2
444260,0
902175,1
216858,0
422066,2
131362,1
359021,1
509790,1
812618,1
526159,1
609971,1
905314,1
269919,1
928645,1
746203,1
669881,1
501985,1
885580,1
579700,1
85995,1
462756,0
503484,1
496210,1
897644,1
862888,1
121466,1
441962,1
956831,2
625357,1
178442,1
750868,1
622332,1
695149,1
684860,1
690889,1
441559,0
294122,1
328254,1
67027,2
401856,0
941761,0
332314,1
459404,1
646473,1
524560,1
506531,1
797980,1
403285,1
263069,1
698265,1
124568,1
817002,1
114932,1
995544,1
312660,1
189071,1
714945,1
384681,1
804664,1
935490,1
507095,1
505211,1
437330,1
281249,1
733007,2
833271,1
120450,1
451338,1
927608,1
504412,1
307680,1
750112,1
1005918,1
200394,1
663773,1
993069,0
737748,1
201663,1
987385,1
272629,1
454939,0
200637,2
683371,1
247779,1
405148,2
757302,1
217848,1
759726,1
788117,1
210834,1
772835,1
616861,0
171674,0
247430,0
453482,1
253242,2
339368,1
846912,1
497619,2
841412,1
696829,1
982351,1
669940,1
346889,1
859022,1
296645,2
190062,1
589079,1
1002331,1
448781,1
512222,1
527196,1
820259,1
90649,2
878100,1
625720,1
333627,1
517986,1
378495,2
684475,1
516439,1
821696,1
217477,1
594488,1
843872,1
322979,1
396910,1
181273,1
277611,1
949174,1
355209,1
866190,1
606037,1
174736,1
210694,1
232555,1
271066,1
1015685,1
244927,1
579524,2
805999,2
357409,1
597737,2
805944,1
141112,2
127864,1
454810,1
463904,1
388575,1
569488,0
223083,1
195438,1
6714,1
415136,1
591272,2
777168,1
208897,1
234490,1
317427,1
934721,1
249575,1
899477,1
699604,0
642781,1
908603,1
37961,1
285722,1
375041,1
376684,1
268536,1
410528,1
851169,1
587873,1
669470,1
999533,1
722616,0
13615,1
40716,1
786511,1
507345,2
883623,0
893967,1
142524,2
118165,1
180809,1
439479,0
895183,1
849386,1
70085,2
223399,2
639624,1
323866,1
314820,1
472719,1
889302,1
1002258,1
343314,2
662790,1
716059,1
514165,1
159977,1
807447,1
182142,0
327624,1
142623,1
742603,2
746603,1
764328,1
577566,1
36025,1
591357,1
517230,1
726249,1
15899,1
991306,2
341554,1
911294,1
961239,1
621016,1
408169,1
884312,1
178093,2
17868,2
387134,1
74713,1
998091,1
758736,1
507891,1
857017,2
912707,2
703064,1
735313,1
689993,0
647232,1
678340,1
715762,1
786229,1
732875,1
958495,1
916747,1
73660,1
83227,1
944896,1
833349,1
383552,1
13545,2
513131,1
380777,1
393951,1
569484,1
433727,1
311256,1
69164,1
361813,2
40125,1
634795,1
941134,1
906249,2
381426,0
122867,1
485966,0
89896,1
280035,1
929884,1
155276,1
638520,1
177218,1
695288,1
867607,0
75909,1
770037,1
653862,1
909570,1
839790,1
25568,1
284974,1
502355,1
923945,1
728221,1
537834,1
601157,1
403777,1
787989,1
681230,0
160784,1
215204,1
592974,1
561154,1
60992,1
550943,2
422624,1
890993,1
498847,2
715887,1
910330,1
624334,1
281483,1
454010,1
718248,1
106627,1
114958,1
173412,1
869935,1
509927,1
869755,1
807223,1
132950,1
931634,2
261207,1
415048,1
753991,1
740454,2
348517,1
937603,0
869601,2
757104,1
961268,1
509662,1
716213,1
24013,1
29638,1
459279,1
693613,1
17882,2
954653,1
992842,1
805364,1
418971,1
854407,1
668264,0
658577,1
284585,1
545927,1
687063,1
137555,1
268947,1
134413,1
875761,1
314596,1
81991,1
982106,1
118907,1
547459,1
843267,1
596273,1
785536,2
130905,1
27885,0
293154,2
542773,1
335595,1
578383,2
507253,1
911009,2
183419,1
14490,1
162430,1
722744,1
718817,1
344953,1
549178,0
285407,1
353247,0
764650,1
