200109,0.1418,0.0000,0.0000
573151,0.1417,0.0000,0.0000
858274,0.1417,0.0000,0.0000
452290,0.1417,0.2500,0.1111
917586,0.1414,0.0000,0.0000
239312,0.1417,0.0000,0.0000
912318,0.1417,0.0000,0.0000
17028,0.1417,0.0000,0.0000
64615,0.1416,0.0000,0.0000
925004,0.1414,0.0000,0.0000
310486,0.1415,0.0000,0.0000
76942,0.1417,0.0000,0.0000
634982,0.1414,0.0000,0.0000
251912,0.1415,0.0000,0.0000
450575,0.1415,0.0000,0.2222
691662,0.1414,0.0000,0.1111
180892,0.1415,0.0000,0.0000
639150,0.1416,0.0000,0.3333
670146,0.1418,0.0000,0.0000
576547,0.1415,0.0000,0.0000
977317,0.1417,0.0000,0.0000
650610,0.1414,0.0000,0.3333
997832,0.1418,0.0000,0.0000
192989,0.1417,0.0000,0.0000
954015,0.1417,0.0000,0.0000
863492,0.1415,0.0000,0.0000
656663,0.1414,0.0000,0.0000
795102,0.1417,0.0000,0.0000
733292,0.1416,0.0000,0.0000
899510,0.1414,0.0000,0.0000
569118,0.1415,0.0000,0.3333
458935,0.1414,0.0000,0.0000
462271,0.1416,0.0000,0.0000
993979,0.1415,0.0000,0.0000
482259,0.1417,0.0000,0.0000
123383,0.1414,0.0000,0.0000
541347,0.1414,0.0000,0.0000
450292,0.1417,0.0000,0.0000
91558,0.1415,0.0000,0.0000
653741,0.1417,0.0000,0.0000
388007,0.1417,0.0000,0.0000
867526,0.1416,0.0000,0.0000
762645,0.1414,0.0000,0.0000
962591,0.1416,0.0000,0.0000
175476,0.1414,0.0000,0.0000
477888,0.1416,0.0000,0.0000
565972,0.1418,0.0000,0.0000
203137,0.1414,0.0000,0.0000
691589,0.1417,0.0000,0.0000
1002588,0.1417,0.0000,0.0000
126317,0.1415,0.0000,0.1111
871394,0.1415,0.0000,0.0000
110873,0.1416,0.0000,0.0000
332662,0.1415,0.0000,0.0000
396947,0.1416,0.0000,0.0000
162526,0.1417,0.0000,0.0000
939656,0.1415,0.0000,0.2222
877958,0.1414,0.0000,0.0000
341415,0.1414,0.0000,0.0000
651556,0.1418,0.0000,0.0000
602253,0.1415,0.0000,0.0000
138985,0.1414,0.0000,0.0000
828006,0.1414,0.5000,0.2222
743787,0.1415,0.0000,0.0000
72201,0.1414,0.0000,0.0000
386478,0.1414,0.0000,0.0000
487719,0.1414,0.0000,0.0000
353999,0.1416,0.0000,0.0000
1012484,0.1414,0.0000,0.0000
331827,0.1416,0.0000,0.0000
863771,0.1416,0.0000,0.0000
680468,0.1416,0.0000,0.0000
669089,0.1418,0.0000,0.0000
901211,0.1414,0.2500,0.3333
868486,0.1414,0.0000,0.0000
966357,0.1417,0.0000,0.0000
98748,0.1414,0.0000,0.0000
70753,0.1414,0.0000,0.0000
667890,0.1414,0.0000,0.0000
863636,0.1414,0.5000,0.2222
814113,0.1417,0.0000,0.0000
92313,0.1414,0.0000,0.0000
260242,0.1415,0.0000,0.0000
356550,0.1415,0.0000,0.2222
46509,0.1416,0.0000,0.0000
520982,0.1414,0.0000,0.0000
303831,0.1416,0.0000,0.0000
514550,0.1415,0.0000,0.0000
53464,0.1414,0.0000,0.0000
499712,0.1417,0.0000,0.0000
288619,0.1414,0.0000,0.0000
368911,0.1414,0.2500,0.1111
363088,0.1417,0.0000,0.0000
401845,0.1416,0.2500,0.1111
601164,0.1415,0.0000,0.0000
455169,0.1414,0.0000,0.0000
727444,0.1415,0.2500,0.1111
755692,0.1415,0.0000,0.0000
587026,0.1418,0.0000,0.0000
394640,0.1415,0.0000,0.0000
3465,0.1417,0.0000,0.0000
725152,0.1414,0.0000,0.0000
327000,0.1417,0.0000,0.0000
374073,0.1416,0.2500,0.1111
117403,0.1415,0.0000,0.3333
936408,0.1414,0.0000,0.0000
142043,0.1416,0.0000,0.0000
552321,0.1414,0.0000,0.0000
324481,0.1416,0.0000,0.2222
215417,0.1414,0.0000,0.0000
14612,0.1415,0.0000,0.2222
824248,0.1414,0.0000,0.0000
760834,0.1414,0.0000,0.0000
445610,0.1415,0.0000,0.0000
